TP,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
T_0,13,13,13,20,18,15,19,15
T_1,23,11,16,25,22,18,24,19
T_2,31,22,15,34,30,25,33,26
T_3,24,17,17,18,23,19,25,19
T_4,13,9,9,14,9,10,14,11
T_5,42,30,30,46,41,24,44,34
T_6,22,15,15,23,21,17,16,18
T_7,40,29,28,43,39,32,42,23
T_8,15,11,11,16,15,12,16,12
T_9,18,13,13,20,18,15,19,15
T_10,36,25,25,39,34,28,37,29
T_11,18,13,13,20,18,15,19,15
T_12,40,29,28,43,39,32,42,33
T_13,23,16,16,25,22,18,24,19
T_14,25,18,17,27,24,20,26,20
T_15,9,6,6,9,8,7,9,7
T_16,23,16,16,25,22,18,24,19
T_17,14,14,14,21,19,16,20,16
T_18,28,14,20,30,27,22,29,23
T_19,42,30,21,46,41,34,44,34
T_20,9,6,6,7,8,7,9,7
T_21,38,27,27,41,26,30,39,31
T_22,23,16,16,25,22,13,24,19
T_23,27,19,19,29,26,22,20,22
T_24,25,18,17,27,24,20,26,14
T_25,26,19,18,28,25,21,27,21
T_26,38,27,27,41,37,30,39,31
T_27,42,30,30,46,41,34,44,34
T_28,43,31,30,47,42,34,45,35
T_29,29,21,21,32,28,23,30,24
T_30,33,24,24,36,32,27,35,27
T_31,42,30,30,46,41,34,44,34
T_32,41,29,29,44,40,33,43,34
T_33,43,31,30,47,42,34,45,35
T_34,7,7,7,11,9,8,10,8
T_35,10,5,7,11,9,8,10,8
T_36,29,21,14,32,28,23,30,24
T_37,12,8,8,9,11,9,12,10
T_38,39,28,27,42,26,31,41,32
T_39,36,25,25,39,34,20,37,29
T_40,13,9,9,14,13,10,9,11
T_41,13,9,9,14,13,10,14,7
T_42,12,8,8,13,11,9,12,10
T_43,20,15,14,22,20,16,21,17
T_44,38,27,27,41,37,30,39,31
T_45,18,13,13,20,18,15,19,15
T_46,33,24,24,36,32,27,35,27
T_47,28,20,20,30,27,22,29,23
T_48,29,21,21,32,28,23,30,24
T_49,10,7,7,11,9,8,10,8
T_50,32,23,23,35,31,26,34,26
T_51,17,17,17,26,23,19,25,19
T_52,13,6,9,14,13,10,14,11
T_53,28,20,14,30,27,22,29,23
T_54,30,22,21,23,29,24,32,25
T_55,12,8,8,13,8,9,12,10
T_56,26,19,18,28,25,14,27,21
T_57,20,15,14,22,20,16,15,17
T_58,34,25,24,37,33,28,36,20
T_59,26,19,18,28,25,21,27,21
T_60,10,7,7,11,9,8,10,8
T_61,19,14,14,21,19,16,20,16
T_62,28,20,20,30,27,22,29,23
T_63,23,16,16,25,22,18,24,19
T_64,17,12,12,19,17,14,18,14
T_65,23,16,16,25,22,18,24,19
T_66,19,14,14,21,19,16,20,16
T_67,12,8,8,13,11,9,12,10
T_68,23,23,23,35,31,26,34,26
T_69,29,15,21,32,28,23,30,24
T_70,27,19,13,29,26,22,28,22
T_71,11,8,8,8,10,9,11,9
T_72,32,23,23,35,22,26,34,26
T_73,29,21,21,32,28,16,30,24
T_74,37,26,26,40,35,29,27,30
T_75,11,8,8,12,10,9,11,6
T_76,19,14,14,21,19,16,20,16
T_77,27,19,19,29,26,22,28,22
T_78,13,9,9,14,13,10,14,11
T_79,39,28,27,42,38,31,41,32
T_80,17,12,12,19,17,14,18,14
T_81,18,13,13,20,18,15,19,15
T_82,22,15,15,23,21,17,23,18
T_83,11,8,8,12,10,9,11,9
T_84,14,10,10,15,14,11,15,11
T_85,14,14,14,21,19,16,20,16
T_86,15,8,11,16,15,12,16,12
T_87,24,17,12,26,23,19,25,19
T_88,31,22,22,24,30,25,33,26
T_89,30,22,21,33,20,24,32,25
T_90,39,28,27,42,38,22,41,32
T_91,14,10,10,15,14,11,10,11
T_92,31,22,22,34,30,25,33,18
T_93,9,6,6,9,8,7,9,7
T_94,9,6,6,9,8,7,9,7
T_95,38,27,27,41,37,30,39,31
T_96,22,15,15,23,21,17,23,18
T_97,25,18,17,27,24,20,26,20
T_98,39,28,27,42,38,31,41,32
T_99,28,20,20,30,27,22,29,23
T_100,32,23,23,35,31,26,34,26
T_101,37,26,26,40,35,29,38,30
T_102,22,22,22,34,30,25,33,26
T_103,36,18,25,39,34,28,37,29
T_104,13,9,6,14,13,10,14,11
T_105,39,28,27,29,38,31,41,32
T_106,23,16,16,25,15,18,24,19
T_107,19,14,14,21,19,11,20,16
T_108,14,10,10,15,14,11,10,11
T_109,15,11,11,16,15,12,16,9
T_110,14,10,10,15,14,11,15,11
T_111,9,6,6,9,8,7,9,7
T_112,18,13,13,20,18,15,19,15
T_113,23,16,16,25,22,18,24,19
T_114,42,30,30,46,41,34,44,34
T_115,30,22,21,33,29,24,32,25
T_116,36,25,25,39,34,28,37,29
T_117,28,20,20,30,27,22,29,23
T_118,37,26,26,40,35,29,38,30
T_119,28,29,28,43,39,32,42,33
T_120,40,20,28,43,39,32,42,33
T_121,38,27,19,41,37,30,39,31
T_122,32,23,23,25,31,26,34,26
T_123,26,19,18,28,18,21,27,21
T_124,14,10,10,15,14,8,15,11
T_125,13,9,9,14,13,10,9,11
T_126,41,29,29,44,40,33,43,23
T_127,26,19,18,28,25,21,27,21
T_128,37,26,26,40,35,29,38,30
T_129,41,29,29,44,40,33,43,34
T_130,11,8,8,12,10,9,11,9
T_131,40,29,28,43,39,32,42,33
T_132,18,13,13,20,18,15,19,15
T_133,32,23,23,35,31,26,34,26
T_134,25,18,17,27,24,20,26,20
T_135,31,22,22,34,30,25,33,26
T_136,18,19,18,28,25,21,27,21
T_137,38,19,27,41,37,30,39,31
T_138,42,30,21,46,41,34,44,34
T_139,32,23,23,25,31,26,34,26
T_140,23,16,16,25,15,18,24,19
T_141,30,22,21,33,29,17,32,25
T_142,14,10,10,15,14,11,10,11
T_143,23,16,16,25,22,18,24,13
T_144,34,25,24,37,33,28,36,28
T_145,23,16,16,25,22,18,24,19
T_146,43,31,30,47,42,34,45,35
T_147,26,19,18,28,25,21,27,21
T_148,40,29,28,43,39,32,42,33
T_149,40,29,28,43,39,32,42,33
T_150,16,12,11,18,16,13,17,13
T_151,31,22,22,34,30,25,33,26
T_152,42,30,30,46,41,34,44,34
T_153,26,27,27,41,37,30,39,31
T_154,26,13,18,28,25,21,27,21
T_155,26,19,13,28,25,21,27,21
T_156,37,26,26,28,35,29,38,30
T_157,27,19,19,29,18,22,28,22
T_158,27,19,19,29,26,15,28,22
T_159,33,24,24,36,32,27,24,27
T_160,43,31,30,47,42,34,45,25
T_161,32,23,23,35,31,26,34,26
T_162,26,19,18,28,25,21,27,21
T_163,16,12,11,18,16,13,17,13
T_164,18,13,13,20,18,15,19,15
T_165,41,29,29,44,40,33,43,34
T_166,38,27,27,41,37,30,39,31
T_167,16,12,11,18,16,13,17,13
T_168,20,15,14,22,20,16,21,17
T_169,31,22,22,34,30,25,33,26
T_170,22,22,22,34,30,25,33,26
T_171,20,10,14,22,20,16,21,17
T_172,33,24,16,36,32,27,35,27
T_173,18,13,13,14,18,15,19,15
T_174,40,29,28,43,27,32,42,33
T_175,43,31,30,47,42,24,45,35
T_176,17,12,12,19,17,14,13,14
T_177,32,23,23,35,31,26,34,19
T_178,28,20,20,30,27,22,29,23
T_179,18,13,13,20,18,15,19,15
T_180,30,22,21,33,29,24,32,25
T_181,33,24,24,36,32,27,35,27
T_182,26,19,18,28,25,21,27,21
T_183,34,25,24,37,33,28,36,28
T_184,42,30,30,46,41,34,44,34
T_185,20,15,14,22,20,16,21,17
T_186,20,15,14,22,20,16,21,17
T_187,29,29,29,44,40,33,43,34
T_188,37,18,26,40,35,29,38,30
T_189,42,30,21,46,41,34,44,34
T_190,36,25,25,27,34,28,37,29
T_191,17,12,12,19,12,14,18,14
T_192,28,20,20,30,27,16,29,23
T_193,34,25,24,37,33,28,25,28
T_194,22,15,15,23,21,17,23,12
T_195,15,11,11,16,15,12,16,12
T_196,34,25,24,37,33,28,36,28
T_197,16,12,11,18,16,13,17,13
T_198,42,30,30,46,41,34,44,34
T_199,36,25,25,39,34,28,37,29
T_200,37,26,26,40,35,29,38,30
T_201,42,30,30,46,41,34,44,34
T_202,41,29,29,44,40,33,43,34
T_203,26,19,18,28,25,21,27,21
T_204,15,15,15,23,21,17,23,18
T_205,19,10,14,21,19,16,20,16
T_206,33,24,16,36,32,27,35,27
T_207,18,13,13,14,18,15,19,15
T_208,33,24,24,36,23,27,35,27
T_209,24,17,17,26,23,13,25,19
T_210,16,12,11,18,16,13,12,13
T_211,31,22,22,34,30,25,33,18
T_212,13,9,9,14,13,10,14,11
T_213,41,29,29,44,40,33,43,34
T_214,18,13,13,20,18,15,19,15
T_215,34,25,24,37,33,28,36,28
T_216,28,20,20,30,27,22,29,23
T_217,40,29,28,43,39,32,42,33
T_218,34,25,24,37,33,28,36,28
T_219,36,25,25,39,34,28,37,29
T_220,27,19,19,29,26,22,28,22
T_221,17,17,17,26,23,19,25,19
T_222,12,6,8,13,11,9,12,10
T_223,42,30,21,46,41,34,44,34
T_224,28,20,20,21,27,22,29,23
T_225,30,22,21,33,20,24,32,25
T_226,40,29,28,43,39,22,42,33
T_227,24,17,17,26,23,19,17,19
T_228,10,7,7,11,9,8,10,6
T_229,32,23,23,35,31,26,34,26
T_230,14,10,10,15,14,11,15,11
T_231,34,25,24,37,33,28,36,28
T_232,32,23,23,35,31,26,34,26
T_233,28,20,20,30,27,22,29,23
T_234,23,16,16,25,22,18,24,19
T_235,25,18,17,27,24,20,26,20
T_236,15,11,11,16,15,12,16,12
T_237,41,29,29,44,40,33,43,34
